time,open,high,low,close,volume
2023-02-14 20:00:00,94.18,94.18,94.11,94.12,9174
2023-02-14 19:55:00,94.23,94.23,94.18,94.18,2882
2023-02-14 19:50:00,94.24,94.24,93.5,93.5,15924
2023-02-14 19:45:00,94.26,94.2899,94.2,94.2,5486
2023-02-14 19:40:00,94.26,94.32,94.25,94.32,5043
2023-02-14 19:35:00,94.27,94.27,94.26,94.26,757
2023-02-14 19:30:00,94.33,94.33,94.3,94.3,745
2023-02-14 19:20:00,94.34,94.34,94.25,94.25,1714
2023-02-14 19:15:00,94.38,94.5,94.26,94.26,6843
2023-02-14 19:10:00,94.42,94.45,94.38,94.38,4406
2023-02-14 19:05:00,94.45,94.45,94.36,94.4,1985
2023-02-14 19:00:00,94.47,94.49,94.36,94.36,2535
2023-02-14 18:55:00,94.35,94.49,94.35,94.48,8620
2023-02-14 18:50:00,94.3,94.3,94.3,94.3,3227
2023-02-14 18:45:00,94.27,94.3,94.26,94.3,1632
2023-02-14 18:40:00,94.28,94.3,94.28,94.3,3340
2023-02-14 18:35:00,94.29,94.3,94.27,94.28,3145
2023-02-14 18:30:00,94.37,94.37,94.27,94.29,2908
2023-02-14 18:25:00,94.35,94.3787,94.33,94.33,1296
2023-02-14 18:20:00,94.33,94.33,94.3,94.33,2284
2023-02-14 18:15:00,94.35,94.35,94.3,94.3,4455
2023-02-14 18:10:00,94.4,94.41,94.33,94.33,2987
2023-02-14 18:05:00,94.36,94.39,94.36,94.39,2619
2023-02-14 18:00:00,94.36,94.4,94.33,94.4,6213
2023-02-14 17:55:00,94.38,94.38,94.36,94.36,6707
2023-02-14 17:50:00,94.38,94.4,94.37,94.38,9372
2023-02-14 17:45:00,94.4,94.4,94.35,94.35,2245
2023-02-14 17:40:00,94.36,94.4,94.35,94.35,4426
2023-02-14 17:35:00,94.36,94.36,94.35,94.36,4435
2023-02-14 17:30:00,94.35,94.36,94.35,94.35,3813
2023-02-14 17:25:00,94.36,94.36,94.35,94.35,6596
2023-02-14 17:20:00,94.34,94.36,94.3257,94.3501,10648
2023-02-14 17:15:00,94.36,94.36,94.35,94.35,4062
2023-02-14 17:10:00,94.3501,94.36,94.35,94.36,4600
2023-02-14 17:05:00,94.38,94.38,94.35,94.35,7895
2023-02-14 17:00:00,94.42,94.42,94.37,94.3799,5786
2023-02-14 16:55:00,94.36,94.41,94.36,94.4,2846
2023-02-14 16:50:00,94.41,94.43,94.36,94.36,8146
2023-02-14 16:45:00,94.4,94.42,94.38,94.39,5831
2023-02-14 16:40:00,94.454,94.4596,94.43,94.4596,5240
2023-02-14 16:35:00,94.3544,94.45,94.3544,94.45,4062
2023-02-14 16:30:00,94.41,94.4866,94.36,94.36,12584
2023-02-14 16:25:00,94.4394,94.49,94.37,94.41,9173
2023-02-14 16:20:00,94.48,94.5,94.36,94.36,15079
2023-02-14 16:15:00,94.38,94.68,94.32,94.48,31053
